rank,year,duration,age_limit,rating,numberof_ratings,Metascore,storyline,movie_name,processed_storyline
102,1984,3h 49m,18,8.3,(380K),75.0,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.", Once Upon a Time in America,a former prohibitionera jewish gangster returns to the lower east side of manhattan years later where he must once again confront the ghosts and regrets of his old life
103,1995,2h 58m,15,8.3,(1.1M),68.0,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England., Braveheart,scottish warrior william wallace leads his countrymen in a rebellion to free his homeland from the tyranny of king edward i of england
104,1971,2h 16m,X,8.3,(885K),77.0,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.", A Clockwork Orange,in the future a sadistic gang leader is imprisoned and volunteers for a conductaversion experiment but it doesnt go as planned
105,1968,2h 29m,U,8.3,(723K),84.0,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.", 2001: A Space Odyssey,after uncovering a mysterious artifact buried beneath the lunar surface a spacecraft is sent to jupiter to find its origins a spacecraft manned by two men and the supercomputer hal
106,1987,1h 56m,18,8.3,(794K),78.0,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue., Full Metal Jacket,a pragmatic us marine observes the dehumanizing effects the vietnam war has on his fellow recruits from their brutal boot camp training to the bloody street fighting in hue
107,1995,1h 21m,PG,8.3,(1.1M),96.0,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom., Toy Story,a cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boys bedroom
108,1992,1h 39m,18,8.3,(1.1M),81.0,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.", Reservoir Dogs,when a simple jewelry heist goes horribly wrong the surviving criminals begin to suspect that one of them is a police informant
109,2012,1h 55m,15,8.3,(367K),77.0,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.", The Hunt,a teacher lives a lonely life all the while struggling over his sons custody his life slowly gets better as he finds love and receives good news from his son but his new luck is about to be brutally shattered by an innocent little lie
110,2009,1h 36m,U,8.3,(1.1M),88.0,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.", Up,yearold carl fredricksen travels to paradise falls in his house equipped with balloons inadvertently taking a young stowaway
111,2020,2h 40m,12,8.3,(115K),88.0,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.", Hamilton,the real life of one of americas foremost founding fathers and first secretary of the treasury alexander hamilton captured live on broadway from the richard rodgers theater with the original broadway cast
112,1983,2h 11m,PG,8.3,(1.1M),58.0,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.", Star Wars: Episode VI - Return of the Jedi,after rescuing han solo from jabba the hutt the rebel alliance attempt to destroy the second death star while luke struggles to help darth vader back from the dark side
113,2001,2h 2m,15,8.3,(797K),70.0,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.", Am̩lie,despite being caught in her imaginative world amelie a young waitress decides to help people find happiness her quest to spread joy leads her on a journey where she finds true love
114,1997,2h 14m,PG,8.3,(437K),76.0,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.", Princess Mononoke,on a journey to find the cure for a tatarigamis curse ashitaka finds himself in the middle of a war between the forest gods and tatara a mining colony in this quest he also meets san the mononoke hime
115,2010,1h 43m,PG,8.3,(897K),92.0,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.", Toy Story 3,the toys are mistakenly delivered to a daycare center instead of the attic right before andy leaves for college and its up to woody to convince the other toys that they werent abandoned and to return home
116,1958,2h 8m,PG,8.3,(429K),100.0,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.", Vertigo,a former san francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail who may be deeply disturbed
117,1931,1h 57m,PG,8.3,(169K),,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.", M,when the police in a german city are unable to catch a childmurderer other criminals join in the manhunt
118,1964,1h 35m,PG,8.3,(520K),97.0,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.", Dr,an unhinged american general orders a bombing attack on the soviet union triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop
119,1962,3h 38m,PG,8.3,(316K),100.0,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.", Lawrence of Arabia,the story of te lawrence the english officer who successfully united and led the diverse often warring arab tribes during world war i in order to fight the turks
120,1962,2h 9m,PG,8.3,(334K),88.0,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.", To Kill a Mockingbird,atticus finch a widowed lawyer in depressionera alabama defends a black man against an undeserved rape charge and tries to educate his young children against prejudice
121,1941,1h 59m,A,8.3,(468K),100.0,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'", Citizen Kane,following the death of publishing tycoon charles foster kane reporters scramble to uncover the meaning of his final utterance rosebud
122,1960,2h 5m,PG,8.3,(198K),94.0,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.", The Apartment,a manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts but office politics and his own romantic hopes complicate matters
